observed_route_class,unique_user_answer_chains,rtc_sessions,cases,chains_with_any_separate_stage,total_separate_stage_records,checking_chains,work_status_chains,preamble_chains,thoughts_chains,recap_chains
OBSROUTE-23445ac03f,19,1,1,1,4,0,1,0,1,1
OBSROUTE-455a4bc378,8,3,2,7,24,1,3,2,7,7
OBSROUTE-4d5b3a19e3,18,1,1,0,0,0,0,0,0,0
OBSROUTE-4f127dbd4f,4,1,1,3,8,0,2,1,1,1
OBSROUTE-553114c217,9,1,1,1,1,0,0,1,0,0
OBSROUTE-57fe30a2de,7,1,1,3,5,0,0,0,0,1
OBSROUTE-711a908a6b,4,1,1,3,12,3,0,0,2,2
OBSROUTE-77d01b217c,25,1,1,0,0,0,0,0,0,0
OBSROUTE-7d0e1d5d40,5,1,1,3,10,2,1,1,3,3
OBSROUTE-8106623f99,7,1,1,6,7,3,2,1,0,0
OBSROUTE-8c083c1873,20,3,3,0,0,0,0,0,0,0
OBSROUTE-92614474aa,9,1,1,0,0,0,0,0,0,0
OBSROUTE-a29bb5fd89,15,2,2,1,1,0,1,0,0,0
OBSROUTE-a2cad87f19,7,1,1,2,7,0,2,0,1,1
OBSROUTE-a517e7503c,23,1,1,4,8,1,0,0,3,4
OBSROUTE-b50c7dde0a,10,2,2,6,18,5,0,0,6,6
OBSROUTE-c6e8a73c42,7,1,1,6,6,5,1,0,0,0
OBSROUTE-d63c1a3022,5,1,1,3,7,0,0,0,2,1
OBSROUTE-dbc178b292,14,1,1,3,13,2,0,2,2,3
OBSROUTE-e6601b7eec,61,1,1,21,22,15,7,0,0,0
OBSROUTE-fba3c1ff75,10,1,1,1,3,1,0,1,0,1
